d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,4.587956826782227,0.706475,3.687873028266202,0.7627388535031847
2,3.371388939857483,0.7771,3.5663909691913873,0.774781050955414
3,3.2513450115203857,0.786775,3.5296737039165134,0.7778662420382165
4,3.1975422977924346,0.793175,3.9623053453530477,0.7608479299363057
5,3.1283219165802003,0.795825,3.295116991753791,0.7921974522292994
6,3.143144821023941,0.79785,3.4394909386422223,0.7845342356687898
7,3.0809112205028533,0.7974,3.3789844133292033,0.7821457006369427
8,3.079518138694763,0.798975,3.8324843846308956,0.7617436305732485
9,3.08068910241127,0.797075,3.4017164644542013,0.7776671974522293
10,3.0332251750946044,0.80055,3.538390932948726,0.7682125796178344
11,3.034978930091858,0.8012,3.292725603291943,0.7981687898089171
12,3.0303988063812257,0.801925,3.3075086235240767,0.7936902866242038
13,3.008999967098236,0.8027,3.4040322785924193,0.7910031847133758
14,3.0163718249320985,0.802325,3.3037852092533355,0.7939888535031847
15,2.963540941810608,0.807375,3.4735720482221835,0.7799562101910829
