d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,1.0041305388689041,0.7437,0.6825035881654472,0.8152866242038217
2,0.627080405664444,0.828475,0.5716083608330436,0.8338972929936306
3,0.5559942136526108,0.84495,0.5911993324566799,0.8356886942675159
4,0.5248803571939469,0.855175,0.5645809986978579,0.8409633757961783
5,0.5075570034384728,0.8591,0.4856883315903366,0.8625597133757962
6,0.48832167460918424,0.864,0.5212655925921573,0.8575835987261147
7,0.4771994571328163,0.871025,0.47136081854818734,0.8711186305732485
8,0.46818113174438475,0.873125,0.4452679659815351,0.8727109872611465
9,0.4543706061840057,0.877075,0.4768019207059198,0.8675358280254777
10,0.4547607521355152,0.8766,0.5039122620965265,0.8663415605095541
11,0.44695972191691397,0.878175,0.5322762217111648,0.8546974522292994
12,0.4440729056715965,0.88,0.46863417830436854,0.8767914012738853
13,0.44469198819994926,0.881525,0.4807929205381946,0.8716162420382165
14,0.4374719480276108,0.882225,0.458355580403167,0.8774880573248408
15,0.43558337308764455,0.8824,0.5257270909893285,0.8647492038216561
