d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,1.1698761479854585,0.697975,0.8527802607625913,0.7761743630573248
2,0.7383400653839112,0.8034,0.7774650446928231,0.7955812101910829
3,0.6680894423246384,0.82245,0.7109344527599918,0.8179737261146497
4,0.6290863982915879,0.8343,0.7129760396898173,0.8218550955414012
5,0.6049358228206635,0.841775,0.6658995805462454,0.8328025477707006
6,0.5885142038822174,0.8474,0.682896843381748,0.8296178343949044
7,0.584463083934784,0.848875,0.6693695320445261,0.8371815286624203
8,0.5730491166710854,0.85135,0.7205828026791287,0.8196656050955414
9,0.5689532148480415,0.8531,0.6754102554101094,0.8335987261146497
10,0.5582786252975463,0.856625,0.6955641671350807,0.8280254777070064
11,0.554523372066021,0.85565,0.6200487972444789,0.8406648089171974
12,0.5458602419137955,0.85975,0.6302166297367424,0.8335987261146497
13,0.5447024310112,0.86,0.5717545646201273,0.853702229299363
14,0.5417595617055893,0.86075,0.6072736269539329,0.8536027070063694
15,0.5423513973951339,0.8605,0.6836524033907113,0.8355891719745223
